Orbit N0.,Solar Longitude,Solar Latitude,Spacecraft Longitude,Spacecraft Latitude,Altitude,Solar Distance,Martian Year,Ls
142,34.82,-15.9,64.72,47.32,170.17,209091855.9,32,220.4
143,327.58,-15.94,357.14,47.45,171.12,209072841.9,32,220.6
144,260.33,-15.98,289.55,47.6,171.34,209053891.2,32,220.8
145,193.09,-16.02,222,47.75,170.67,209035013.4,32,220.8
146,125.84,-16.06,154.42,47.83,171.73,209016199,32,220.9
147,58.6,-16.1,86.86,47.98,171.16,208997453.8,32,221
148,351.37,-16.14,19.31,48.09,171.24,208978778.9,32,221.2
149,284.12,-16.18,311.71,48.24,172.13,208960168.4,32,221.2
150,216.88,-16.22,244.14,48.4,171.27,208941627.8,32,221.4
151,149.64,-16.26,176.61,48.48,172.14,208923156.2,32,221.5
152,82.4,-16.3,109.01,48.63,171.9,208904751.1,32,221.6
153,15.16,-16.34,41.48,48.74,171.24,208886417.3,32,221.8
154,307.93,-16.37,333.89,48.89,172.49,208868150.7,32,221.8
155,240.68,-16.41,266.32,49.03,172.07,208849950.7,32,222
156,173.46,-16.45,198.79,49.15,171.97,208831824.4,32,222.1
157,106.21,-16.49,131.17,49.28,172.29,208813761.4,32,222.3
158,38.98,-16.53,63.64,49.41,171.49,208795769.5,32,222.3
159,331.75,-16.57,356.06,49.54,172.44,208777848.1,32,222.4
160,264.51,-16.61,288.47,49.68,172.65,208759991.5,32,222.6
161,197.28,-16.65,220.93,49.83,171.95,208742209,32,222.8
162,130.04,-16.68,153.35,49.91,173.04,208724491.7,32,222.8
163,62.81,-16.72,85.79,50.07,172.47,208706844.8,32,222.9
164,355.58,-16.76,18.24,50.18,172.52,208689269.6,32,223.1
165,288.35,-16.8,310.64,50.32,173.42,208671760.4,32,223.3
166,221.12,-16.84,243.07,50.48,172.53,208654322.3,32,223.4
167,153.89,-16.88,175.54,50.56,173.41,208636954.8,32,223.4
168,86.66,-16.91,107.94,50.72,173.19,208619655.2,32,223.5
169,19.43,-16.95,40.42,50.82,172.5,208602428,32,223.7
170,312.21,-16.99,332.83,50.96,173.76,208585269.7,32,223.9
171,244.97,-17.03,265.25,51.11,173.33,208568179.4,32,223.9
172,177.76,-17.07,197.73,51.23,173.22,208551163.8,32,224
173,110.53,-17.1,130.11,51.36,173.56,208534213.4,32,224.1
174,43.3,-17.14,62.59,51.48,172.76,208517335.2,32,224.3
175,336.08,-17.18,355,51.61,173.71,208500528.8,32,224.3
176,268.85,-17.22,287.42,51.75,173.92,208483788.9,32,224.5
177,201.64,-17.25,219.87,51.9,173.2,208467124.1,32,224.6
178,134.41,-17.29,152.29,51.98,174.3,208450526.2,32,224.8
179,67.18,-17.33,84.74,52.13,173.74,208433999.8,32,224.9
180,359.97,-17.37,17.18,52.24,173.77,208417546.4,32,224.9
181,292.74,-17.4,309.59,52.39,174.66,208401160.4,32,225.1
182,225.52,-17.44,242.02,52.54,173.75,208384846.9,32,225.3
183,158.31,-17.48,174.49,52.62,174.63,208368605.2,32,225.4
184,91.08,-17.52,106.89,52.78,174.42,208352432.8,32,225.4
185,23.87,-17.55,39.37,52.88,173.71,208336334,32,225.6
186,316.65,-17.59,331.78,53.02,174.98,208320305.4,32,225.8
187,249.43,-17.63,264.2,53.17,174.54,208304346.3,32,225.9
188,182.23,-17.66,196.68,53.28,174.41,208288462.9,32,225.9
189,115,-17.7,129.05,53.41,174.79,208272646.4,32,226
190,47.79,-17.74,61.53,53.53,174,208256903.3,32,226.2
191,340.58,-17.77,353.95,53.66,174.93,208241233.4,32,226.4
192,273.36,-17.81,286.36,53.8,175.15,208225631.5,32,226.4
193,206.16,-17.85,218.82,53.95,174.39,208210105.8,32,226.5
194,138.94,-17.88,151.24,54.03,175.51,208194648.5,32,226.6
195,71.73,-17.92,83.68,54.18,174.96,208179263.9,32,226.8
196,4.53,-17.96,16.13,54.28,174.96,208163953.4,32,227
197,297.31,-17.99,308.54,54.43,175.86,208148711.8,32,227
198,230.11,-18.03,240.97,54.58,174.93,208133543.7,32,227.1
199,162.9,-18.06,173.45,54.66,175.8,208118448.9,32,227.3
200,95.69,-18.1,105.84,54.81,175.6,208103424.7,32,227.4
201,28.49,-18.14,38.33,54.92,174.87,208088474.9,32,227.4
202,321.29,-18.17,330.73,55.05,176.15,208073596.8,32,227.6
203,254.08,-18.21,263.15,55.2,175.7,208058789.4,32,227.8
204,186.89,-18.24,195.63,55.31,175.55,208044058.7,32,227.9
205,119.67,-18.28,128,55.44,175.97,208029396.4,32,227.9
206,52.47,-18.32,60.48,55.56,175.18,208014808.3,32,228.1
207,345.28,-18.35,352.9,55.68,176.09,208000294.6,32,228.3
208,278.07,-18.39,285.31,55.82,176.32,207985850.1,32,228.4
209,210.87,-18.42,217.75,55.97,175.53,207971482.6,32,228.5
210,143.67,-18.46,150.18,56.04,176.66,207957185,32,228.5
211,76.46,-18.49,82.62,56.2,176.12,207942961.1,32,228.7
212,9.27,-18.53,15.07,56.3,176.07,207928812.3,32,228.9
213,302.07,-18.56,307.47,56.44,176.99,207914733.9,32,229
214,234.87,-18.6,239.89,56.59,176.04,207900730,32,229
215,167.67,-18.63,172.37,56.67,176.89,207886800.4,32,229.1
216,100.47,-18.67,104.75,56.82,176.7,207872942.7,32,229.3
217,33.28,-18.7,37.24,56.92,175.95,207859160.4,32,229.5
218,326.09,-18.74,329.64,57.05,177.23,207845451,32,229.5
219,258.88,-18.77,262.05,57.2,176.78,207831813.7,32,229.6
220,191.7,-18.81,194.53,57.31,176.61,207818253.7,32,229.8
221,124.5,-18.84,126.89,57.43,177.07,207804763.6,32,229.9
222,57.31,-18.88,59.37,57.56,176.29,207791348.8,32,230.1
223,350.12,-18.91,351.78,57.67,177.18,207778009.3,32,230.1
224,282.92,-18.94,284.18,57.81,177.42,207764740.5,32,230.3
225,215.74,-18.98,216.62,57.96,176.59,207751549.3,32,230.4
226,148.54,-19.01,149.05,58.03,177.74,207738429.5,32,230.6
227,81.35,-19.05,81.47,58.18,177.21,207725384.4,32,230.6
228,14.16,-19.08,13.92,58.28,177.13,207712415.2,32,230.8
229,306.96,-19.11,306.32,58.42,178.06,207699517.9,32,230.9
230,239.77,-19.15,238.73,58.57,177.09,207686695.8,32,231
231,172.59,-19.18,171.21,58.64,177.91,207673949.3,32,231
232,105.4,-19.22,103.57,58.8,177.74,207661275.7,32,231.2
233,38.21,-19.25,36.06,58.89,176.97,207648678.3,32,231.4
234,331.03,-19.28,328.45,59.02,178.26,207636155.2,32,231.5
235,263.84,-19.32,260.85,59.16,177.81,207623705.1,32,231.5
236,196.66,-19.35,193.32,59.28,177.61,207611333.2,32,231.6
237,129.47,-19.38,125.67,59.39,178.12,207599032.4,32,231.8
238,62.28,-19.42,58.15,59.52,177.34,207586807.8,32,232
239,355.11,-19.45,350.54,59.63,178.21,207574659.5,32,232.1
240,287.91,-19.48,282.93,59.77,178.46,207562583.1,32,232.1
241,220.74,-19.52,215.37,59.91,177.6,207550584.9,32,232.3
242,153.55,-19.55,147.79,59.98,178.76,207538659.5,32,232.5
243,86.36,-19.58,80.2,60.13,178.24,207526809.5,32,232.6
244,19.19,-19.61,12.64,60.22,178.11,207515036.4,32,232.6
245,312,-19.65,305.02,60.36,179.06,207503336.4,32,232.8
246,244.81,-19.68,237.41,60.5,178.08,207491712.4,32,232.9
247,177.64,-19.71,169.89,60.58,178.87,207480164.9,32,233.1
248,110.45,-19.74,102.23,60.73,178.72,207468691.3,32,233.1
249,43.27,-19.78,34.72,60.82,177.92,207457294.8,32,233.3
250,336.1,-19.81,327.09,60.95,179.22,207445973.5,32,233.4
251,268.91,-19.84,259.48,61.09,178.77,207434726.3,32,233.5
252,201.74,-19.87,191.94,61.2,178.54,207423557.9,32,233.7
253,134.56,-19.91,124.28,61.31,179.1,207412462,32,233.7
254,67.38,-19.94,56.74,61.43,178.34,207401443,32,233.9
255,0.2,-19.97,349.12,61.54,179.16,207390501.2,32,234
256,293.02,-20,281.5,61.67,179.43,207379632.5,32,234.2
257,225.85,-20.03,213.92,61.81,178.53,207368842.6,32,234.2
258,158.67,-20.06,146.33,61.88,179.7,207358126.8,32,234.3
259,91.49,-20.1,78.72,62.03,179.2,207347487.3,32,234.5
260,24.32,-20.13,11.15,62.12,179.02,207336925.4,32,234.7
261,317.14,-20.16,303.51,62.25,179.99,207326437.6,32,234.7
262,249.96,-20.19,235.89,62.39,179,207316026.7,32,234.8
263,182.79,-20.22,168.36,62.46,179.75,207305693.1,32,235
264,115.61,-20.25,100.68,62.61,179.62,207295434.4,32,235.2
265,48.44,-20.28,33.16,62.7,178.81,207285253.4,32,235.2
266,341.27,-20.31,325.51,62.82,180.1,207275148.7,32,235.3
267,274.09,-20.35,257.88,62.96,179.67,207265119,32,235.4
268,206.92,-20.38,190.32,63.07,179.39,207255168.6,32,235.6
